driver,BHR,SAU,AUS,AZE,MIA,MON,ESP,CAN,AUT,GBR,HUN,BEL,NED,ITA,SIN,JPN,QAT,USA,MXC,SAP,LVG,ABU
Verstappen,,1,,,1,,1,,1,1,1,,,,,1,1,,,,,1
Perez,,,1,,,,,1,,,,,,,,,,,,,,
Hamilton,,,,,,1,,,,,,1,,,1,,,,1,,,
Alonso,,,,,,,,,,,,,1,,,,,,,,,
Norris,,,,,,,,,,,,,,,,,,,,1,,
Sainz,,,,,,,,,,,,,,,,,,,,,,
Leclerc,,,,,,,,,,,,,,,,,,,,,,
Russell,,,,1,,,,,,,,,,,,,,,,,,
Piastri,,,,,,,,,,,,,,1,,,,,,,1,
Stroll,,,,,,,,,,,,,,,,,,,,,,
Gasly,,,,,,,,,,,,,,,,,,,,,,
Ocon,,,,,,,,,,,,,,,,,,,,,,
Albon,,,,,,,,,,,,,,,,,,,,,,
Tsunoda,1,,,,,,,,,,,,,,,,,1,,,,
Bottas,,,,,,,,,,,,,,,,,,,,,,
Hulkenberg,,,,,,,,,,,,,,,,,,,,,,
Ricciardo,,,,,,,,,,,,,,,,,,,,,,
Guanyu,,,,,,,,,,,,,,,,,,,,,,
Magnussen,,,,,,,,,,,,,,,,,,,,,,
Lawson,,,,,,,,,,,,,,,,,,,,,,
Sargeant,,,,,,,,,,,,,,,,,,,,,,
de Vries,,,,,,,,,,,,,,,,,,,,,,
